HHID,ORIGIN_OF_TRIP,DESTINATION_OF_TRIP,TT_WALK,WALKABILITY_INDEX,TT_CYCLE,BIKEABILITY_INDEX,TT_PT,FARE_PT,WT_PT,AT_PT,AC_PT,TT_CAR,FC_CAR,PC_CAR,CC_CAR,INCOME,GENDER,AGE,CAR_OWNERSHIP,CHOSEN_MODE,AV_WALK,AV_CYCLE,AV_PT,AV_CAR
1,3,7,27,97,35,63,46,7,19,19,5,60,1,1,2,86,0,23,0,2,1,1,1,1
2,8,1,31,100,31,40,27,2,18,14,1,15,2,5,9,56,0,36,1,3,1,1,1,1
3,9,4,52,14,13,22,29,2,5,10,4,50,3,2,4,59,1,46,0,2,1,1,1,1
4,8,6,33,28,16,70,32,2,9,17,0,56,1,2,2,29,1,27,0,3,1,1,1,1
5,2,2,55,11,20,96,51,3,18,13,0,27,3,1,6,64,0,49,1,2,1,1,1,1
6,6,3,32,8,37,22,49,7,4,7,1,44,2,5,9,21,1,46,0,1,1,1,1,1
7,7,8,56,16,38,19,16,5,10,29,3,45,3,6,6,43,0,56,1,1,1,1,1,1
8,9,7,23,42,13,40,30,6,14,30,1,10,3,5,9,48,0,28,0,2,1,1,1,1
9,1,6,33,87,51,90,40,4,18,10,4,48,1,7,9,52,0,53,0,1,1,1,1,1
10,9,3,20,92,54,62,44,2,3,25,4,23,1,3,5,34,0,62,0,4,1,1,1,1
11,9,7,13,94,40,39,56,2,18,11,0,48,1,4,2,62,0,42,1,1,1,1,1,1
12,5,4,52,90,20,21,14,4,7,7,5,13,1,8,2,31,0,26,0,2,1,1,1,1
13,3,4,48,16,31,22,49,6,6,11,3,57,3,2,4,66,0,42,1,1,1,1,1,1
14,9,2,37,34,51,29,31,3,8,12,2,30,3,5,2,10,0,67,1,4,1,1,1,1
15,8,6,42,87,12,89,39,7,8,5,5,39,2,6,5,26,0,33,0,2,1,1,1,1
16,2,9,55,47,29,66,21,4,7,26,2,26,1,6,8,83,1,40,0,2,1,1,1,1
17,3,2,30,7,41,47,12,6,20,10,0,13,3,2,9,57,1,44,1,2,1,1,1,1
18,2,2,14,50,49,94,25,3,17,24,4,27,3,8,9,88,0,30,0,1,1,1,1,1
19,2,4,35,34,58,49,30,4,6,11,3,30,2,7,8,39,1,37,1,1,1,1,1,1
20,9,8,52,60,22,27,40,7,6,8,4,15,1,2,2,83,0,30,0,2,1,1,1,1
21,3,9,53,96,29,75,24,1,2,21,5,60,3,5,7,38,1,68,0,2,1,1,1,1
22,2,8,16,93,43,79,43,1,10,11,4,38,3,2,6,54,1,39,0,1,1,1,1,1
23,6,8,32,91,30,54,32,1,9,10,4,57,2,7,10,51,0,59,1,2,1,1,1,1
24,8,8,49,27,56,76,22,2,7,23,3,24,1,4,3,40,1,47,1,4,1,1,1,1
25,5,4,58,55,27,72,42,1,19,8,0,47,2,7,6,81,0,54,1,2,1,1,1,1
26,9,9,23,60,33,26,47,3,20,15,5,53,1,4,3,53,1,26,0,1,1,1,1,1
27,2,5,14,27,30,100,27,5,20,13,0,19,2,3,6,26,0,64,0,1,1,1,1,1
28,4,6,52,41,10,72,54,5,16,16,4,46,3,3,8,10,1,67,1,2,1,1,1,1
29,4,1,60,52,53,92,29,4,20,25,4,56,2,1,3,75,0,35,1,1,1,1,1,1
30,7,1,46,73,41,97,42,6,4,10,4,15,3,1,7,96,0,61,0,4,1,1,1,1
31,5,8,32,23,48,73,15,4,17,13,3,13,1,3,5,21,1,48,0,4,1,1,1,1
32,4,9,23,53,40,54,34,6,8,23,5,32,3,6,7,31,1,30,0,1,1,1,1,1
33,1,3,24,98,24,77,27,6,15,25,0,43,3,3,10,65,1,68,0,2,1,1,1,1
34,9,8,42,48,56,85,11,7,15,13,3,48,3,3,6,15,0,66,1,1,1,1,1,1
35,8,6,41,84,16,62,30,2,16,13,5,60,3,2,5,70,1,69,1,2,1,1,1,1
36,9,6,32,38,53,61,49,4,4,13,0,19,2,5,3,63,0,57,1,1,1,1,1,1
37,2,2,33,70,20,71,26,3,9,10,5,43,3,6,2,83,1,26,1,1,1,1,1,1
38,6,3,37,5,18,83,28,1,2,11,2,40,1,2,8,95,0,47,1,2,1,1,1,1
39,7,1,20,36,56,32,27,4,8,24,2,33,1,6,5,94,0,68,1,1,1,1,1,1
40,3,6,45,84,54,49,52,7,4,10,1,11,2,3,8,98,1,57,0,4,1,1,1,1
41,6,1,59,20,41,38,37,4,5,18,1,10,1,6,3,57,1,38,1,1,1,1,1,1
42,4,2,21,75,17,27,20,2,16,26,2,10,3,2,6,100,0,33,1,2,1,1,1,1
43,8,7,13,33,52,100,33,4,6,11,1,12,2,6,2,48,1,46,1,4,1,1,1,1
44,6,9,60,61,18,100,13,6,13,11,2,17,2,4,2,41,0,44,0,2,1,1,1,1
45,1,5,54,18,39,23,43,5,12,13,3,20,2,8,9,49,1,59,1,1,1,1,1,1
46,8,6,56,59,58,16,14,7,13,27,1,48,2,4,10,25,1,43,0,1,1,1,1,1
47,5,6,53,82,24,58,58,5,4,15,3,11,3,4,5,70,1,21,1,2,1,1,1,1
48,4,8,56,52,42,88,39,7,15,9,3,59,2,4,9,95,0,22,1,2,1,1,1,1
49,8,3,12,25,35,20,53,1,18,6,0,53,1,4,2,55,1,38,1,1,1,1,1,1
50,6,7,47,88,19,51,25,4,20,20,5,53,2,8,7,11,0,34,1,2,1,1,1,1
51,5,5,37,28,34,34,27,6,3,22,4,22,1,6,3,55,0,25,0,4,1,1,1,1
52,5,7,50,19,55,48,10,1,2,8,1,58,2,4,6,50,0,23,1,3,1,1,1,1
53,5,5,58,42,45,2,52,4,12,18,0,34,1,4,5,49,0,18,1,4,1,1,1,1
54,8,2,26,77,33,57,55,4,17,7,5,18,1,1,7,93,1,53,0,4,1,1,1,1
55,9,8,59,23,29,59,21,5,16,25,4,11,2,6,4,48,1,36,0,2,1,1,1,1
56,2,6,58,4,27,20,44,4,8,22,1,36,2,3,4,65,1,68,0,4,1,1,1,1
57,8,6,19,12,19,11,28,6,11,20,3,21,1,6,5,60,1,70,0,1,1,1,1,1
58,9,1,52,96,39,69,36,2,8,6,3,31,2,5,3,42,0,24,1,2,1,1,1,1
59,1,6,58,59,17,72,43,7,6,12,5,12,1,4,8,27,1,53,1,2,1,1,1,1
60,5,1,27,64,48,20,27,5,12,20,5,53,1,3,8,57,1,56,0,1,1,1,1,1
61,8,6,45,85,22,64,20,2,2,5,0,59,1,2,5,53,0,44,0,2,1,1,1,1
62,4,9,40,58,43,64,24,5,20,27,0,56,3,7,2,96,0,65,1,1,1,1,1,1
63,5,8,34,85,34,93,47,1,4,20,3,48,1,2,9,87,1,28,0,1,1,1,1,1
64,2,8,30,67,10,97,28,5,8,21,1,34,3,4,5,33,0,25,1,1,1,1,1,1
65,4,5,15,84,43,9,22,2,3,20,2,40,2,6,3,42,1,64,0,1,1,1,1,1
66,4,9,25,51,11,8,26,2,16,6,5,34,2,2,7,76,1,19,0,1,1,1,1,1
